scale,m,n,unknowns,nodes,ppn,threads,mpi_ranks,total_cores,unknowns_per_core,matrix_type,runtime_mean_s,runtime_std_s,runtime_min_s,runtime_max_s,speedup,efficiency,cu,n_runs
very-large,6400,6400,40960000,1,4,8,4,32,1280000.0,,4484.0,nan,4484.0,4484.0,3.437778768956289,0.10743058652988403,1.2455555555555555,1
very-large,6400,6400,40960000,1,8,4,8,32,1280000.0,,3651.0,nan,3651.0,3651.0,4.222130923034785,0.13194159134483704,1.0141666666666667,1
very-large,6400,6400,40960000,1,16,2,16,32,1280000.0,,3685.0,nan,3685.0,3685.0,4.1831750339213025,0.1307242198100407,1.023611111111111,1
very-large,6400,6400,40960000,1,32,1,32,32,1280000.0,,3825.0,nan,3825.0,3825.0,4.030065359477124,0.12593954248366013,1.0625,1
very-large,6400,6400,40960000,1,8,8,8,64,640000.0,,2271.0,nan,2271.0,2271.0,6.787758696609423,0.10605872963452223,0.6308333333333334,1
very-large,6400,6400,40960000,1,16,4,16,64,640000.0,,1826.0,nan,1826.0,1826.0,8.441949616648412,0.13190546276013143,0.5072222222222222,1
very-large,6400,6400,40960000,1,32,2,32,64,640000.0,,1859.0,nan,1859.0,1859.0,8.292092522861754,0.1295639456697149,0.5163888888888889,1
very-large,6400,6400,40960000,1,64,1,64,64,640000.0,,1905.0,nan,1905.0,1905.0,8.091863517060368,0.12643536745406825,0.5291666666666667,1
very-large,6400,6400,40960000,1,16,8,16,128,320000.0,,1140.0,nan,1140.0,1140.0,13.521929824561404,0.10564007675438597,0.31666666666666665,1
very-large,6400,6400,40960000,1,32,4,32,128,320000.0,,866.4,nan,866.4,866.4,17.79201292705448,0.13900010099261312,0.24066666666666667,1
very-large,6400,6400,40960000,1,64,2,64,128,320000.0,,850.8,nan,850.8,850.8,18.118241654913025,0.141548762929008,0.2363333333333333,1
very-large,6400,6400,40960000,1,128,1,128,128,320000.0,,846.9,nan,846.9,846.9,18.201676703270753,0.14220059924430276,0.23525,1
